疾病,总数,详论
老年性皮肤瘙痒症,1,老年性皮肤瘙痒症中西医治疗研究进展
胆石症,1,中西医结合治疗胆石症临证举隅
扁平疣,1,扁平疣外治法研究进展
扁平疣,2,中西医结合治疗扁平疣的临床应用研究
扁平疣,3,中西医结合治疗扁平疣体会
扁平疣,4,中西医结合治疗扁平疣病例心得
不孕,1,中西医结合治疗输卵管炎性阻塞性不孕86例探讨
不孕,2,红藤合剂保留灌肠联合选择性输卵管造影再通治疗血瘀输卵管阻塞性不孕症随机平行对照研究
不孕,3,中西医结合治疗内分泌失调性不孕症的临床效果观察
不孕,4,中西医结合在多囊卵巢综合征不孕中的疗效观察
不孕,5,输卵管阻塞性不孕的中西医治疗进展
不孕,6,中西医结合治疗排卵障碍性不孕疗效观察
不孕,7,中西医结合治疗继发性不孕不育128例疗效观察
不孕,8,中西医结合治疗排卵障碍性不孕临床研究
不孕,9,中西医结合以多途径用药对女性输卵管性不孕进行治疗的效果研究
不孕,10,中西医结合治疗免疫性不孕不育的临床效果观察
不孕,11,中西医结合治疗输卵管堵塞致女性不孕症的研究进展分析
不孕,12,肾虚血瘀型多囊卵巢综合征、复发性流产、不孕症的治疗研究进展
不孕,13,中西医结合疗法在输卵管堵塞性不孕治疗中的应用
不孕,14,多囊卵巢综合征不孕患者行中西医结合治疗的效果探讨
不孕,15,中西医结合治疗不孕不育的临床疗效情况及病因
不孕,16,补肾助孕方联合促排卵药对排卵障碍性不孕患者FSH、LH、E_2及内膜的影响
不孕,17,中西医结合治疗多囊卵巢综合征不孕症的Meta分析
不孕,18,中西医结合治疗内分泌失调性不孕症的效果及安全性观察
不孕,19,中西医结合治疗免疫性不孕不育的疗效观察
不孕,20,中西医结合治疗脾肾阳虚型黄体功能不全不孕症临床观察
不孕,21,中西医结合治疗免疫性不孕的临床效果分析
不孕,22,谈勇教授治疗卵巢功能不全性不孕症经验
高血压,1,中西医结合治疗高血压性脑出血的临床效果观察
高血压,2,用中西医结合疗法治疗妊娠期高血压的效果探讨
高血压,3,中西医结合治疗原发性高血压34例临床观察
高血压,4,中西医结合治疗原发性高血压的临床疗效分析
高血压,5,中西医诊治原发性高血压临床体会
高血压,6,降压调脂汤联合西药治疗112例高血压合并高血脂疗效分析
高血压,7,H型高血压的中西医治疗
